EventID,Ajans,Tarih_UTC,Enlem,Boylam,Derinlik,Buyukluk,Ulke,Sehir
359073,DDA,2017-01-26 14:35:18,38.5981,25.4441,1.06,4.2,-,-
359072,DDA,2017-01-26 14:34:51,38.5605,25.233,2.17,4,-,-
359041,DDA,2017-01-25 18:50:52,35.5143,26.5121,37.39,5,-,-
358986,DDA,2017-01-25 01:19:32,36.7501,27.6628,19.29,4.3,Türkiye,Mugla
358664,DDA,2017-01-20 13:52:34,41.76,42.8546,9.92,4.3,Gürcistan,Adigeni
358374,DDA,2017-01-16 02:45:43,34.4178,24.5276,7.27,4.3,-,-
358276,DDA,2017-01-15 04:03:20,39.5418,26.151,9.24,4.3,Türkiye,Çanakkale
358230,DDA,2017-01-14 22:38:59,39.5373,26.1518,9,4.6,Türkiye,Çanakkale
358170,DDA,2017-01-13 21:43:31,35.6788,32.548,29.8,4,-,-
358055,DDA,2017-01-11 15:50:34,34.801,22.7768,14.39,4.3,-,-
357775,DDA,2017-01-05 14:05:08,36.5158,26.7875,57.92,4.2,-,-
357677,DDA,2017-01-04 00:08:36,36.2751,29.2586,42.29,4.1,-,-
357428,DDA,2017-01-01 13:03:54,34.595,26.917,7.01,4.6,-,-
357217,DDA,2016-12-30 01:56:21,40.8638,24.43,19.57,4.2,-,-
357109,DDA,2016-12-27 19:31:10,36.715,23.158,35.3,4.4,-,-
356648,DDA,2016-12-20 06:03:45,36.594,26.959,118.3,5.1,-,-
356410,DDA,2016-12-16 21:21:49,39.5798,39.72,3.19,4.5,Türkiye,Erzincan
356338,DDA,2016-12-15 16:43:57,37.104,28.6418,18.11,4.2,Türkiye,Mugla
356186,DDA,2016-12-12 22:42:08,38.533,43.8653,10.72,4.4,Türkiye,Van
355650,DDA,2016-12-03 13:58:17,34.4415,25.2795,3.01,4.3,-,-
355637,DDA,2016-12-03 08:35:57,35.9391,27.4206,26.73,4.2,-,-
355407,DDA,2016-11-29 00:19:33,35.1695,23.4385,9.6,4.4,-,-
355163,DDA,2016-11-24 16:40:43,38.525,43.873,9.2,4,Türkiye,Van
355089,DDA,2016-11-23 12:14:36,38.5393,43.8703,9.97,4.6,Türkiye,Van
355083,DDA,2016-11-23 10:03:16,38.4788,43.9503,11.59,4.1,Türkiye,Van
354961,DDA,2016-11-20 22:52:36,39.9526,38.5926,6.36,4,Türkiye,Erzincan
354914,DDA,2016-11-19 21:14:28,36.0391,40.907,22.52,4.2,Suriye,Al-Hasakah
354660,DDA,2016-11-16 09:15:14,40.984,22.607,55.8,4.3,Yunanistan,Kilkis
353840,DDA,2016-11-02 11:57:42,40.7508,34.2811,6.42,4.7,Türkiye,Çorum
353171,DDA,2016-10-23 08:22:01,38.4211,41.9276,1.63,4.2,Türkiye,Bitlis
352892,DDA,2016-10-19 12:18:45,36.1193,30.378,48,4.3,-,-
352832,DDA,2016-10-18 19:22:47,38.6323,43.7393,11.85,4.1,Türkiye,Van
352157,DDA,2016-10-17 01:30:32,37.9275,26.9261,10.36,4.4,Türkiye,-
351994,DDA,2016-10-15 08:18:35,42.0791,30.6391,27.32,4.8,-,-
351979,DDA,2016-10-15 05:32:57,35.096,26.5475,3.1,4.5,-,-
351969,DDA,2016-10-15 02:51:03,38.9298,27.7166,9.8,4.2,Türkiye,Manisa
351968,DDA,2016-10-15 02:49:16,38.9333,27.72,8.14,4.1,Türkiye,Manisa
351555,DDA,2016-10-09 06:21:00,39.0091,27.726,14.07,4,Türkiye,Manisa
350859,DDA,2016-09-29 22:27:19,35.043,24.89,15,4.1,Yunanistan,Heraklion
350778,DDA,2016-09-29 01:17:35,39.665,24.052,10.1,4,-,-
350660,DDA,2016-09-28 09:10:06,37.933,29.1285,7.5,4,Türkiye,Denizli
350630,DDA,2016-09-27 20:57:09,36.405,27.5966,50.63,5.2,-,-
350615,DDA,2016-09-27 18:11:13,37.9268,29.1198,7.22,4,Türkiye,Denizli
349449,DDA,2016-09-21 19:27:37,42.1448,40.916,16.39,4.3,-,-
349445,DDA,2016-09-21 18:08:11,35.2778,31.8376,18.64,4,-,-
349054,DDA,2016-09-16 05:12:24,37.2055,36.9008,7.8,4,Türkiye,Gaziantep
348625,DDA,2016-09-12 09:29:37,38.9023,27.7448,17.24,4.5,Türkiye,Manisa
348611,DDA,2016-09-12 08:26:04,38.905,27.7451,17.78,4.6,Türkiye,Manisa
348500,DDA,2016-09-09 17:24:19,36.7788,25.2975,7.26,4.2,Yunanistan,Cyclades
348393,DDA,2016-09-07 21:29:49,41.789,46.119,49.1,4.1,Gürcistan,Lagodekhi
348299,DDA,2016-09-06 05:27:25,36.2865,28.1553,49.58,4.2,Yunanistan,Dodecanese
348182,DDA,2016-09-03 20:44:08,37.428,47.1671,6.32,4.2,Iran,Hashtrud
347707,DDA,2016-08-26 13:37:27,38.5671,24.2645,5.51,4.3,-,-
346514,DDA,2016-08-17 01:07:02,38.7015,38.1531,11.16,4.1,Türkiye,Malatya
345952,DDA,2016-08-07 16:08:17,35.4586,31.7555,24.39,4.1,-,-
345872,DDA,2016-08-06 05:16:49,40.7833,22.4476,5.15,4.1,Yunanistan,Pella
345660,DDA,2016-08-02 19:30:52,40.315,33.3615,12.23,4.2,Türkiye,Ankara
345473,DDA,2016-07-30 17:26:22,35.3273,22.9071,7.07,4.8,-,-
345317,DDA,2016-07-28 16:13:28,35.2135,39.0436,2,4.6,Suriye,Palmyra
345284,DDA,2016-07-28 06:05:14,42.6703,40.7935,9.99,4.2,-,-
345110,DDA,2016-07-25 23:35:16,35.8923,31.5921,21.82,4.1,-,-
344231,DDA,2016-07-24 20:33:35,34.3613,38.3926,4.74,4.5,Suriye,Palmyra
344108,DDA,2016-07-22 21:40:13,42.1245,35.1811,29.85,4.3,-,-
344022,DDA,2016-07-21 15:17:45,41.3401,44.0256,7.06,4.4,Gürcistan,Dmanisi
343892,DDA,2016-07-19 01:55:43,37.151,26.8558,10.06,4.1,Yunanistan,Dodecanese
343822,DDA,2016-07-17 20:58:44,37.9978,29.3981,9.48,4,Türkiye,Denizli
343557,DDA,2016-07-13 18:36:05,35.9518,31.1308,26.21,4.2,-,-
343442,DDA,2016-07-12 10:14:01,41.3551,44.0148,10.27,4.7,Gürcistan,Dmanisi
343269,DDA,2016-07-09 07:15:32,36.9745,30.4645,52.28,4.3,Türkiye,Antalya
